not_vegetated
needleleaf_evergreen_temperate_tree
needleleaf_evergreen_boreal_tree
needleleaf_deciduous_boreal_tree
broadleaf_evergreen_tropical_tree
broadleaf_evergreen_temperate_tree
broadleaf_deciduous_tropical_tree
broadleaf_deciduous_temperate_tree
broadleaf_deciduous_boreal_tree
broadleaf_evergreen_shrub
broadleaf_deciduous_temperate_shrub
broadleaf_deciduous_boreal_shrub
c3_arctic_grass
c3_non-arctic_grass
c4_grass
c3_crop
c3_irrigated
corn
irrigated_corn
spring_temperate_cereal
irrigated_spring_temperate_cereal
winter_temperate_cereal
irrigated_winter_temperate_cereal
soybean
irrigated_soybean
